 ID,Name,Created,Updated
61,Pihatyöt,2025-01-09T18:00:47.433Z,2025-01-09T18:00:47.433Z
60,Korjaustyöt,2025-01-05T22:01:18.690Z,2025-01-05T22:01:18.690Z
59,Urheiluvalmennus,2025-01-05T22:00:01.697Z,2025-01-05T22:00:01.697Z
58,Logosuunnittelu,2025-01-05T21:59:39.918Z,2025-01-05T21:59:39.918Z
57,Puuseppätyöt,2025-01-05T21:59:26.447Z,2025-01-05T21:59:26.447Z
56,Markkinointipalvelut,2025-01-05T21:59:02.315Z,2025-01-05T21:59:02.315Z
55,Auton sisätilapuhdistus,2025-01-05T21:58:33.372Z,2025-01-05T21:58:51.834Z
54,Moottoripyörän huolto,2025-01-05T21:57:51.805Z,2025-01-05T21:57:51.805Z
53,Pyöränkorjauspalvelu,2025-01-05T21:57:20.953Z,2025-01-05T21:57:20.953Z
52,Konsultointipalvelut,2025-01-05T21:56:22.051Z,2025-01-05T21:56:22.051Z
51,Terapeuttipalvelut,2025-01-05T21:55:05.149Z,2025-01-05T21:55:05.149Z
50,DJ-palvelut,2025-01-05T21:54:54.352Z,2025-01-05T21:54:54.352Z
49,Videotuotantopalvelut,2025-01-05T21:54:33.615Z,2025-01-05T21:54:33.615Z
48,Elektronisten laitteiden huolto,2025-01-05T21:54:14.044Z,2025-01-05T21:54:14.044Z
47,Hierontapalvelut,2025-01-05T21:53:13.362Z,2025-01-05T21:53:13.362Z
46,Hammashoitopalvelut,2025-01-05T21:53:07.933Z,2025-01-05T21:53:07.933Z
45,Lakipalvelut,2025-01-05T21:53:00.993Z,2025-01-05T21:53:00.993Z
44,Kirjanpitopalvelut,2025-01-05T21:52:55.419Z,2025-01-05T21:52:55.419Z
43,Verkkosivujen kehitys,2025-01-05T21:52:47.697Z,2025-01-05T21:52:47.697Z
42,Graafinen suunnittelu,2025-01-05T21:51:54.250Z,2025-01-05T21:52:30.053Z
41,Kattojen pesupalvelut,2025-01-05T21:51:33.563Z,2025-01-05T21:51:33.563Z
40,Tekstiilien pesupalvelut,2025-01-05T21:51:08.586Z,2025-01-05T21:51:08.586Z
39,Käsityö- ja korjauspalvelut,2025-01-05T21:50:52.265Z,2025-01-05T21:50:52.265Z
38,Kuljetuspalvelut,2025-01-05T21:50:31.113Z,2025-01-05T21:50:31.113Z
37,Vartionti- ja turvapalvelut,2025-01-05T21:50:15.825Z,2025-01-05T21:50:15.825Z
36,Veneiden huolto ja korjaus,2025-01-05T21:49:39.394Z,2025-01-05T21:49:51.142Z
35,Autonvuokraus,2025-01-05T21:49:10.887Z,2025-01-05T21:49:10.887Z
34,Opetuspalvelut,2025-01-05T21:49:00.123Z,2025-01-05T21:49:00.123Z
33,Catering - palvelut,2025-01-05T21:48:50.687Z,2025-01-05T21:48:50.687Z
32,Tapahtuma- ja juhlapalvelut,2025-01-05T21:48:43.190Z,2025-01-05T21:48:43.190Z
31,Valokuvauspalvelut,2025-01-05T21:48:26.450Z,2025-01-05T21:48:26.450Z
30,Kauneudenhoitopalvelut,2025-01-05T21:48:05.883Z,2025-01-05T21:48:05.883Z
29,Personal Trainer - palvelut,2025-01-05T21:47:53.358Z,2025-01-05T21:47:53.358Z
28,Kieltenopetuspalvelut,2025-01-05T21:47:24.129Z,2025-01-05T21:47:24.129Z
27,Henkilökohtainen avustaja - palvelu,2025-01-05T21:46:50.747Z,2025-01-05T21:47:06.048Z
26,Kotipalvelut,2025-01-05T21:46:23.289Z,2025-01-05T21:46:23.289Z
25,Lastenhoitopalvelut,2025-01-05T21:45:58.257Z,2025-01-05T21:46:16.828Z
24,Lemmikkien hoitopalvelut,2025-01-05T21:45:51.322Z,2025-01-05T21:45:51.322Z
23,Autopesupalvelut,2025-01-05T21:45:30.092Z,2025-01-05T21:45:30.092Z
22,Piharakentamistyöt,2025-01-05T21:45:10.792Z,2025-01-05T21:45:10.792Z
21,Kalusteiden asennustyöt,2025-01-05T21:44:25.161Z,2025-01-05T21:44:29.707Z
20,Sisustussuunnittelupalvelut,2025-01-05T21:44:13.996Z,2025-01-05T21:44:37.853Z
19,Lattia-asennustyöt,2025-01-05T21:44:01.571Z,2025-01-05T21:44:42.768Z
18,Kattotyöt,2025-01-05T21:43:48.958Z,2025-01-05T21:44:45.038Z
17,Remonttipalvelut,2025-01-05T21:43:42.661Z,2025-01-05T21:43:42.661Z
16,Kodinkoneiden asennustyöt,2025-01-05T21:43:27.987Z,2025-01-05T21:44:54.930Z
15,Tietotekniikkapalvelut,2025-01-05T21:43:11.491Z,2025-01-05T21:43:11.491Z
14,Autonhuolto ja -korjaus,2025-01-05T21:42:55.323Z,2025-01-05T21:42:55.323Z
13,Muuttopalvelut,2025-01-05T21:42:39.391Z,2025-01-05T21:42:39.391Z
12,Lumityöt,2025-01-05T21:42:23.497Z,2025-01-05T21:42:23.497Z
11,Puutarhanhoito,2025-01-05T21:42:18.006Z,2025-01-05T21:42:18.006Z
10,Siivouspalvelut,2025-01-05T21:42:10.228Z,2025-01-05T21:42:10.228Z
9,Putkityöt,2025-01-05T21:42:03.782Z,2025-01-05T21:42:03.782Z
8,LVI - työt,2025-01-05T21:41:57.138Z,2025-01-05T21:41:57.138Z
7,Muu työ/palvelu,2024-12-29T21:23:04.868Z,2025-01-05T21:56:30.353Z
6,Parturi-kampaamotyöt,2024-12-29T21:22:29.832Z,2025-01-05T21:38:30.668Z
5,Maalaustyöt,2024-12-29T21:21:31.705Z,2025-01-05T21:38:39.190Z
4,Kiinteistönhuolto,2024-12-29T21:20:53.432Z,2025-01-05T21:38:48.271Z
3,Metsurityöt,2024-12-29T21:20:38.815Z,2025-01-05T21:38:56.090Z
2,Rakennus- ja saneeraustyöt,2024-12-29T21:20:28.915Z,2025-01-05T21:41:35.043Z
1,Sähkötyöt,2024-12-29T21:20:01.631Z,2025-01-05T21:41:39.838Z
